id,site,block,patch,p.pos,trt,pop,fam,esurv,july.stage,july.height,july.leaf,herbivory.category,disease.category,fall.stage,branch.number,seed.pods,browsed
97,ACNW,3,5,1,competition,GRE,23,1,1,11,3,1,4,1,1,0,0
98,ACNW,3,5,2,competition,GRE,25,1,1,14,3,1,4,1,1,0,0
99,ACNW,3,5,3,competition,GRE,18,0,0,0,0,?,?,0,0,0,0
100,ACNW,3,5,4,competition,GRE,24,0,0,0,0,?,?,0,0,0,0
101,ACNW,3,6,1,competition,TYS,10,0,0,0,0,?,?,0,0,0,0
102,ACNW,3,6,2,competition,TYS,32,0,0,0,0,?,?,0,0,0,0
103,ACNW,3,6,3,competition,TYS,20,0,1,12,3,1,1,0,0,0,0
104,ACNW,3,6,4,competition,TYS,21,0,0,0,0,?,?,0,0,0,0
105,ACNW,3,7,1,competition,KZA,1,0,0,0,0,?,?,0,0,0,0
106,ACNW,3,7,2,competition,KZA,36,0,0,0,0,?,?,0,0,0,0
107,ACNW,3,7,3,competition,KZA,13,1,0,0,0,?,?,0,0,0,0
108,ACNW,3,7,4,competition,KZA,5,0,0,0,0,?,?,0,0,0,0
109,ACNW,3,8,1,competition,CRA,19,0,0,0,0,?,?,0,0,0,0
110,ACNW,3,8,2,competition,CRA,12,1,0,0,0,?,?,0,0,0,0
111,ACNW,3,8,3,competition,CRA,22,1,1,24,7,1,3,0,0,0,0
112,ACNW,3,8,4,competition,CRA,34,0,0,0,0,?,?,0,0,0,0
113,ACNW,3,9,1,removal,GCD,12,0,0,0,0,?,?,0,0,0,0
114,ACNW,3,9,2,removal,GCD,14,0,0,0,0,?,?,0,0,0,0
115,ACNW,3,9,3,removal,GCD,40,0,0,0,0,?,?,0,0,0,0
116,ACNW,3,9,4,removal,GCD,25,0,0,0,0,?,?,0,0,0,0
117,ACNW,3,10,1,removal,CRA,19,0,0,0,0,?,?,0,0,0,0
118,ACNW,3,10,2,removal,CRA,12,0,0,0,0,?,?,0,0,0,0
119,ACNW,3,10,3,removal,CRA,22,0,0,0,0,?,?,0,0,0,0
120,ACNW,3,10,4,removal,CRA,34,0,0,0,0,?,?,0,0,0,0
121,ACNW,4,1,1,competition,TYS,9,1,1,11.5,4,3,3,0,0,0,0
122,ACNW,4,1,2,competition,TYS,3,1,1,10.5,3,1,1,0,0,0,0
123,ACNW,4,1,3,competition,TYS,23,0,0,0,0,?,?,0,0,0,0
124,ACNW,4,1,4,competition,TYS,13,1,1,7,3,3,3,1,1,0,0
125,ACNW,4,2,1,competition,KZA,22,1,1,5,1,4,4,0,0,0,0
126,ACNW,4,2,2,competition,KZA,38,0,0,0,0,?,?,0,0,0,0
127,ACNW,4,2,3,competition,KZA,35,0,0,0,0,?,?,0,0,0,0
128,ACNW,4,2,4,competition,KZA,30,1,0,0,0,?,?,0,0,0,0
129,ACNW,4,3,1,removal,GCD,38,0,0,0,0,?,?,0,0,0,0
130,ACNW,4,3,2,removal,GCD,20,1,1,?,3,1,3,0,0,0,1
131,ACNW,4,3,3,removal,GCD,11,0,0,0,0,?,?,0,0,0,0
132,ACNW,4,3,4,removal,GCD,18,0,0,0,0,?,?,0,0,0,0
133,ACNW,4,4,1,competition,CRA,39,0,0,0,0,?,?,0,0,0,0
134,ACNW,4,4,2,competition,CRA,31,1,0,0,0,?,?,0,0,0,0
135,ACNW,4,4,3,competition,CRA,28,0,0,0,0,?,?,0,0,0,0
136,ACNW,4,4,4,competition,CRA,25,0,0,0,0,?,?,0,0,0,0
137,ACNW,4,5,1,removal,KZA,22,0,0,0,0,?,?,0,0,0,0
138,ACNW,4,5,2,removal,KZA,38,1,0,0,0,?,?,0,0,0,0
139,ACNW,4,5,3,removal,KZA,35,1,0,0,0,?,?,0,0,0,0
140,ACNW,4,5,4,removal,KZA,30,1,0,0,0,?,?,0,0,0,0
141,ACNW,4,6,1,competition,GCD,38,0,0,0,0,?,?,0,0,0,0
142,ACNW,4,6,2,competition,GCD,20,0,0,0,0,?,?,0,0,0,0
143,ACNW,4,6,3,competition,GCD,11,0,0,0,0,?,?,0,0,0,0
144,ACNW,4,6,4,competition,GCD,18,0,0,0,0,?,?,0,0,0,0
145,ACNW,4,7,1,removal,CRA,39,0,0,0,0,?,?,0,0,0,0
146,ACNW,4,7,2,removal,CRA,31,0,0,0,0,?,?,0,0,0,0
147,ACNW,4,7,3,removal,CRA,28,0,0,0,0,?,?,0,0,0,0
148,ACNW,4,7,4,removal,CRA,25,1,1,?,4,1,1,0,0,0,1
149,ACNW,4,8,1,competition,GRE,9,0,0,0,0,?,?,0,0,0,0
150,ACNW,4,8,2,competition,GRE,17,0,0,0,0,?,?,0,0,0,0
151,ACNW,4,8,3,competition,GRE,2,1,0,0,0,?,?,0,0,0,0
152,ACNW,4,8,4,competition,GRE,3,0,0,0,0,?,?,0,0,0,0
153,ACNW,4,9,1,removal,TYS,9,0,0,0,0,?,?,0,0,0,0
154,ACNW,4,9,2,removal,TYS,3,1,0,0,0,?,?,0,0,0,0
155,ACNW,4,9,3,removal,TYS,23,0,0,0,0,?,?,0,0,0,0
156,ACNW,4,9,4,removal,TYS,13,0,0,0,0,?,?,0,0,0,0
157,ACNW,4,10,1,removal,GRE,9,0,0,0,0,?,?,0,0,0,0
158,ACNW,4,10,2,removal,GRE,17,0,0,0,0,?,?,0,0,0,0
159,ACNW,4,10,3,removal,GRE,2,0,0,0,0,?,?,0,0,0,0
160,ACNW,4,10,4,removal,GRE,3,0,0,0,0,?,?,0,0,0,0
161,ACNW,5,1,1,removal,CRA,40,0,0,0,0,?,?,0,0,0,0
162,ACNW,5,1,2,removal,CRA,1,0,0,0,0,?,?,0,0,0,0
163,ACNW,5,1,3,removal,CRA,7,0,0,0,0,?,?,0,0,0,0
164,ACNW,5,1,4,removal,CRA,15,1,0,0,0,?,?,0,0,0,0
165,ACNW,5,2,1,competition,GCD,31,1,1,16,4,1,3,1,1,0,0
166,ACNW,5,2,2,competition,GCD,36,1,0,0,0,?,?,0,0,0,0
167,ACNW,5,2,3,competition,GCD,6,0,0,0,0,?,?,0,0,0,0
168,ACNW,5,2,4,competition,GCD,3,0,0,0,0,?,?,0,0,0,0
169,ACNW,5,3,1,competition,TYS,8,0,0,0,0,?,?,0,0,0,0
170,ACNW,5,3,2,competition,TYS,34,1,1,25,4,3,3,1,1,0,0
171,ACNW,5,3,3,competition,TYS,7,0,0,0,0,?,?,0,0,0,0
172,ACNW,5,3,4,competition,TYS,39,1,1,18,4,2,3,0,0,0,0
173,ACNW,5,4,1,removal,GRE,4,1,1,?,1,1,1,0,0,0,1
174,ACNW,5,4,2,removal,GRE,40,0,0,0,0,?,?,0,0,0,0
175,ACNW,5,4,3,removal,GRE,22,0,0,0,0,?,?,0,0,0,0
176,ACNW,5,4,4,removal,GRE,10,0,0,0,0,?,?,0,0,0,0
177,ACNW,5,5,1,removal,TYS,8,1,0,0,0,?,?,0,0,0,0
178,ACNW,5,5,2,removal,TYS,34,1,0,0,0,?,?,0,0,0,0
179,ACNW,5,5,3,removal,TYS,7,1,0,0,0,?,?,0,0,0,0
180,ACNW,5,5,4,removal,TYS,39,0,0,0,0,?,?,0,0,0,0
181,ACNW,5,6,1,removal,KZA,23,0,0,0,0,?,?,0,0,0,0
182,ACNW,5,6,2,removal,KZA,20,0,0,0,0,?,?,0,0,0,0
183,ACNW,5,6,3,removal,KZA,29,0,0,0,0,?,?,0,0,0,0
184,ACNW,5,6,4,removal,KZA,40,0,0,0,0,?,?,0,0,0,0
185,ACNW,5,7,1,competition,KZA,23,0,0,0,0,?,?,0,0,0,0
186,ACNW,5,7,2,competition,KZA,20,0,0,0,0,?,?,0,0,0,0
187,ACNW,5,7,3,competition,KZA,29,1,0,0,0,?,?,0,0,0,0
188,ACNW,5,7,4,competition,KZA,40,0,0,0,0,?,?,0,0,0,0
189,ACNW,5,8,1,removal,GCD,31,0,0,0,0,?,?,0,0,0,0
190,ACNW,5,8,2,removal,GCD,36,0,0,0,0,?,?,0,0,0,0
191,ACNW,5,8,3,removal,GCD,6,0,0,0,0,?,?,0,0,0,0
192,ACNW,5,8,4,removal,GCD,3,0,0,0,0,?,?,0,0,0,0
193,ACNW,5,9,1,competition,GRE,4,1,0,0,0,?,?,0,0,0,0
194,ACNW,5,9,2,competition,GRE,40,0,0,0,0,?,?,0,0,0,0
195,ACNW,5,9,3,competition,GRE,22,1,1,13,3,1,3,0,0,0,0
196,ACNW,5,9,4,competition,GRE,10,1,1,13,3,1,3,1,1,0,0
197,ACNW,5,10,1,competition,CRA,40,1,0,0,0,?,?,0,0,0,0
198,ACNW,5,10,2,competition,CRA,1,1,0,0,0,?,?,0,0,0,0
199,ACNW,5,10,3,competition,CRA,7,1,1,24.5,6,2,3,0,0,0,0
200,ACNW,5,10,4,competition,CRA,15,1,1,24,6,1,3,0,0,0,0
201,ACNW,6,1,1,removal,KZA,14,0,0,0,0,?,?,0,0,0,0
202,ACNW,6,1,2,removal,KZA,31,1,1,?,1,1,1,0,0,0,1
203,ACNW,6,1,3,removal,KZA,19,0,0,0,0,?,?,0,0,0,0
204,ACNW,6,1,4,removal,KZA,12,0,0,0,0,?,?,0,0,0,0
205,ACNW,6,2,1,removal,GCD,23,0,0,0,0,?,?,0,0,0,0
206,ACNW,6,2,2,removal,GCD,10,0,0,0,0,?,?,0,0,0,0
207,ACNW,6,2,3,removal,GCD,16,0,0,0,0,?,?,0,0,0,0
208,ACNW,6,2,4,removal,GCD,33,0,0,0,0,?,?,0,0,0,0
209,ACNW,6,3,1,removal,TYS,6,0,0,0,0,?,?,0,0,0,0
210,ACNW,6,3,2,removal,TYS,17,1,1,?,3,1,1,0,0,0,1
211,ACNW,6,3,3,removal,TYS,5,0,0,0,0,?,?,0,0,0,0
212,ACNW,6,3,4,removal,TYS,18,0,0,0,0,?,?,0,0,0,0
213,ACNW,6,4,1,removal,GRE,15,1,1,8,2,1,3,0,0,0,0
214,ACNW,6,4,2,removal,GRE,8,0,0,0,0,?,?,0,0,0,0
215,ACNW,6,4,3,removal,GRE,11,0,0,0,0,?,?,0,0,0,0
216,ACNW,6,4,4,removal,GRE,14,0,0,0,0,?,?,0,0,0,0
217,ACNW,6,5,1,competition,GCD,23,1,1,?,2,1,1,0,0,0,1
218,ACNW,6,5,2,competition,GCD,10,1,1,35,7,2,3,4,1,3,0
219,ACNW,6,5,3,competition,GCD,16,1,0,0,0,?,?,0,0,0,0
220,ACNW,6,5,4,competition,GCD,33,1,1,0,0,?,?,0,0,0,1
221,ACNW,6,6,1,competition,GRE,15,?,0,0,0,?,?,0,0,0,0
222,ACNW,6,6,2,competition,GRE,8,0,0,0,0,?,?,0,0,0,0
223,ACNW,6,6,3,competition,GRE,11,1,1,?,2,3,3,0,0,0,1
224,ACNW,6,6,4,competition,GRE,14,1,1,16,4,1,2,0,0,0,0
225,ACNW,6,7,1,removal,CRA,36,1,1,4,2,1,1,0,0,0,0
226,ACNW,6,7,2,removal,CRA,10,1,1,0,2,1,1,0,0,0,1
227,ACNW,6,7,3,removal,CRA,37,0,0,0,0,?,?,0,0,0,0
228,ACNW,6,7,4,removal,CRA,5,1,1,?,3,3,3,0,0,0,1
229,ACNW,6,8,1,competition,CRA,36,0,0,0,0,?,?,0,0,0,0
230,ACNW,6,8,2,competition,CRA,10,1,1,16,5,1,3,0,0,0,0
231,ACNW,6,8,3,competition,CRA,37,1,1,18,4,1,3,0,0,0,0
232,ACNW,6,8,4,competition,CRA,5,1,1,23.5,3,1,3,1,1,0,0
233,ACNW,6,9,1,competition,TYS,6,0,0,0,0,?,?,0,0,0,0
234,ACNW,6,9,2,competition,TYS,17,0,0,0,0,?,?,0,0,0,0
235,ACNW,6,9,3,competition,TYS,5,?,0,0,0,?,?,0,0,0,0
236,ACNW,6,9,4,competition,TYS,18,1,1,17.5,4,1,3,0,0,0,0
237,ACNW,6,10,1,competition,KZA,14,1,1,0,0,?,?,0,0,0,1
238,ACNW,6,10,2,competition,KZA,31,1,1,?,1,1,1,0,0,0,1
239,ACNW,6,10,3,competition,KZA,19,1,0,0,0,?,?,0,0,0,0
240,ACNW,6,10,4,competition,KZA,12,0,0,0,0,?,?,0,0,0,0
241,ACNW,7,1,1,removal,CRA,33,0,0,0,0,?,?,0,0,0,0
242,ACNW,7,1,2,removal,CRA,17,0,0,0,0,?,?,0,0,0,0
243,ACNW,7,1,3,removal,CRA,21,0,1,18,3,1,3,0,0,0,0
244,ACNW,7,1,4,removal,CRA,13,1,1,15.5,4,3,3,1,1,0,0
245,ACNW,7,2,1,removal,TYS,31,1,1,?,1,1,1,0,0,0,1
246,ACNW,7,2,2,removal,TYS,12,1,1,?,1,1,1,0,0,0,1
247,ACNW,7,2,3,removal,TYS,36,1,1,14,3,1,3,0,0,0,0
248,ACNW,7,2,4,removal,TYS,16,0,0,0,0,?,?,0,0,0,0
249,ACNW,7,3,1,competition,CRA,33,1,0,0,0,?,?,0,0,0,0
250,ACNW,7,3,2,competition,CRA,17,1,1,8,1,1,1,1,1,0,0
251,ACNW,7,3,3,competition,CRA,21,1,1,?,1,4,4,0,0,0,1
252,ACNW,7,3,4,competition,CRA,13,1,1,12,3,1,3,1,1,0,0
253,ACNW,7,4,1,competition,GRE,31,1,0,0,0,?,?,0,0,0,0
254,ACNW,7,4,2,competition,GRE,1,1,1,18,4,1,2,1,1,0,0
255,ACNW,7,4,3,competition,GRE,26,1,1,16,4,2,3,0,0,0,0
256,ACNW,7,4,4,competition,GRE,38,1,1,28,6,1,2,3,1,3,0
257,ACNW,7,5,1,removal,GRE,31,0,0,0,0,?,?,0,0,0,0
258,ACNW,7,5,2,removal,GRE,1,1,1,20,5,1,3,1,1,0,0
259,ACNW,7,5,3,removal,GRE,26,0,0,0,0,?,?,0,0,0,0
260,ACNW,7,5,4,removal,GRE,38,1,1,12,5,3,3,1,1,0,0
261,ACNW,7,6,1,competition,KZA,39,0,0,0,0,?,?,0,0,0,0
262,ACNW,7,6,2,competition,KZA,4,0,0,0,0,?,?,0,0,0,0
263,ACNW,7,6,3,competition,KZA,24,1,1,12,4,2,3,0,0,0,0
264,ACNW,7,6,4,competition,KZA,8,1,1,19,4,1,3,1,1,0,0
265,ACNW,7,7,1,competition,GCD,19,1,1,19,4,2,3,1,1,0,0
266,ACNW,7,7,2,competition,GCD,17,1,1,15,4,1,3,0,0,0,0
267,ACNW,7,7,3,competition,GCD,22,1,1,22,5,2,3,0,0,0,0
268,ACNW,7,7,4,competition,GCD,1,1,1,?,3,1,1,0,0,0,1
269,ACNW,7,8,1,removal,GCD,19,1,1,15.5,5,1,4,0,0,0,0
270,ACNW,7,8,2,removal,GCD,17,0,0,0,0,?,?,0,0,0,0
271,ACNW,7,8,3,removal,GCD,22,0,0,0,0,?,?,0,0,0,0
272,ACNW,7,8,4,removal,GCD,1,1,0,0,0,?,?,0,0,0,0
273,ACNW,7,9,1,competition,TYS,31,1,0,0,0,?,?,0,0,0,0
274,ACNW,7,9,2,competition,TYS,12,1,0,0,0,?,?,0,0,0,0
275,ACNW,7,9,3,competition,TYS,36,0,0,0,0,?,?,0,0,0,0
276,ACNW,7,9,4,competition,TYS,16,1,1,25.5,8,2,3,0,0,0,1
277,ACNW,7,10,1,removal,KZA,39,1,0,0,0,?,?,1,1,0,0
278,ACNW,7,10,2,removal,KZA,4,0,0,0,0,?,?,0,0,0,0
279,ACNW,7,10,3,removal,KZA,24,1,0,0,0,?,?,0,0,0,0
280,ACNW,7,10,4,removal,KZA,8,0,0,0,0,?,?,0,0,0,0
281,ACNW,8,1,1,competition,KZA,34,1,0,0,0,?,?,0,0,0,0
282,ACNW,8,1,2,competition,KZA,27,0,0,0,0,?,?,0,0,0,0
283,ACNW,8,1,3,competition,KZA,7,0,0,0,0,?,?,0,0,0,0
284,ACNW,8,1,4,competition,KZA,32,0,0,0,0,?,?,0,0,0,0
285,ACNW,8,2,1,removal,TYS,29,0,0,0,0,?,?,0,0,0,0
286,ACNW,8,2,2,removal,TYS,22,0,0,0,0,?,?,0,0,0,0
287,ACNW,8,2,3,removal,TYS,19,1,1,?,1,1,4,1,1,0,1
288,ACNW,8,2,4,removal,TYS,38,0,0,0,0,?,?,0,0,0,0
289,ACNW,8,3,1,competition,TYS,29,0,0,0,0,?,?,0,0,0,0
290,ACNW,8,3,2,competition,TYS,22,0,0,0,0,?,?,0,0,0,0
291,ACNW,8,3,3,competition,TYS,19,1,0,0,0,?,?,0,0,0,0
292,ACNW,8,3,4,competition,TYS,38,0,0,0,0,?,?,0,0,0,0
293,ACNW,8,4,1,removal,GRE,39,0,0,0,0,?,?,0,0,0,0
294,ACNW,8,4,2,removal,GRE,32,0,0,0,0,?,?,0,0,0,0
295,ACNW,8,4,3,removal,GRE,35,0,0,0,0,?,?,0,0,0,0
296,ACNW,8,4,4,removal,GRE,27,0,0,0,0,?,?,0,0,0,0
297,ACNW,8,5,1,removal,KZA,34,0,0,0,0,?,?,0,0,0,0
298,ACNW,8,5,2,removal,KZA,27,0,0,0,0,?,?,0,0,0,0
299,ACNW,8,5,3,removal,KZA,7,0,0,0,0,?,?,0,0,0,0
300,ACNW,8,5,4,removal,KZA,32,0,0,0,0,?,?,0,0,0,0
301,ACNW,8,6,1,competition,GCD,9,0,0,0,0,?,?,0,0,0,0
302,ACNW,8,6,2,competition,GCD,37,1,1,?,1,1,4,1,1,0,1
303,ACNW,8,6,3,competition,GCD,7,0,0,0,0,?,?,0,0,0,0
304,ACNW,8,6,4,competition,GCD,39,0,0,0,0,?,?,0,0,0,0
305,ACNW,8,7,1,removal,CRA,32,0,0,0,0,?,?,0,0,0,0
306,ACNW,8,7,2,removal,CRA,29,1,1,20,5,3,3,0,0,0,0
307,ACNW,8,7,3,removal,CRA,24,0,0,0,0,?,?,0,0,0,0
308,ACNW,8,7,4,removal,CRA,16,0,0,0,0,?,?,0,0,0,0
309,ACNW,8,8,1,competition,CRA,32,1,1,?,2,1,1,1,1,0,1
310,ACNW,8,8,2,competition,CRA,29,1,1,0,0,?,?,1,1,0,1
311,ACNW,8,8,3,competition,CRA,24,0,0,0,0,?,?,0,0,0,0
312,ACNW,8,8,4,competition,CRA,16,0,0,0,0,?,?,0,0,0,0
313,ACNW,8,9,1,competition,GRE,39,0,0,0,0,?,?,0,0,0,0
314,ACNW,8,9,2,competition,GRE,32,0,0,0,0,?,?,0,0,0,0
315,ACNW,8,9,3,competition,GRE,35,0,0,0,0,?,?,0,0,0,0
316,ACNW,8,9,4,competition,GRE,27,1,1,?,1,1,1,2,1,0,1
317,ACNW,8,10,1,removal,GCD,9,0,0,0,0,?,?,0,0,0,0
318,ACNW,8,10,2,removal,GCD,37,0,0,0,0,?,?,0,0,0,0
319,ACNW,8,10,3,removal,GCD,7,0,0,0,0,?,?,0,0,0,0
320,ACNW,8,10,4,removal,GCD,39,0,0,0,0,?,?,0,0,0,0
321,ACNW,9,1,1,removal,GRE,19,0,0,0,0,?,?,0,0,0,0
322,ACNW,9,1,2,removal,GRE,12,1,1,14,4,2,3,1,1,0,0
323,ACNW,9,1,3,removal,GRE,36,0,0,0,0,?,?,0,0,0,0
324,ACNW,9,1,4,removal,GRE,34,0,0,0,0,?,?,0,0,0,0
325,ACNW,9,2,1,removal,GCD,24,0,0,0,0,?,?,0,0,0,0
326,ACNW,9,2,2,removal,GCD,35,0,0,0,0,?,?,0,0,0,0
327,ACNW,9,2,3,removal,GCD,34,0,0,0,0,?,?,0,0,0,0
328,ACNW,9,2,4,removal,GCD,21,0,0,0,0,?,?,0,0,0,0
329,ACNW,9,3,1,competition,GRE,19,1,1,15,2,1,4,0,0,0,0
